"name","regionid","no_highschool_diploma_2014","highschool_and_ged_diploma_2014","some_college_2014","bachelors_degree_2014","graduate_plus_2014"
"Alameda",206428,246,858,2507,4479,4333
"Arbor Lodge",271060,1045,1336,3224,2906,1643
"Ardenwald",272783,463,1358,2545,786,666
"Argay",271061,1526,2828,5297,2467,995
"Boise",271065,977,1256,3289,3907,1765
"Brentwood-Darlington",276222,2290,5085,6824,3017,1165
"Bridgeton",271067,129,327,493,177,114
"Bridlemile",206554,365,544,1135,2655,2670
"Brooklyn",206562,540,772,2533,2065,1261
"Buckman",271068,409,1429,4668,5478,2297
"Cathedral Park",271070,1603,2532,4604,3371,1807
"Centennial",271071,5578,8741,9774,2491,594
"Center",271072,641,1657,3734,5084,3998
"Central Beaverton",273187,2273,4427,4544,2601,1176
"Concordia",271076,505,1833,3735,5085,3133
"Corbett-Terwilliger-Lair Hill",273346,184,698,3200,5232,3382
"Creston-Kenilworth",273402,1230,2445,3326,2685,1365
"Cully",271079,3842,5495,8531,6305,3777
"Denny Whitford",276294,346,491,923,612,198
"Downtown",271082,1130,1689,4138,4899,3508
"Eastmoreland",206780,91,645,1720,2339,2759
"Eliot",271085,347,774,2125,1509,1088
"Far Southwest",271087,375,2145,6466,7339,6420
"Five Oaks",271089,844,1540,3267,3942,2140
"Forest Park",271090,84,878,2160,5936,5456
"Foster Powell",344054,1099,2069,4116,2686,985
"Government Island",273856,23,95,282,119,42
"Greenway",273899,686,1325,2631,2090,645
"Haden Island",273912,116,253,321,164,102
"Hayhurst",271098,293,906,2270,2625,2036
"Hazelwood",206971,5460,9619,10809,4731,2145
"Hector Campbell",273955,168,1079,1759,780,309
"Highlands",274008,1373,1767,3288,2385,1184
"Hillsdale",206987,251,871,2607,4395,3746
"Historic Milwaukie",274035,146,393,954,424,220
"Homestead",274053,66,190,831,1953,2311
"Hosford",274059,346,1275,2587,4173,3451
"Irvington",207031,513,1398,3306,4460,4041
"Island Station",274111,111,329,706,267,186
"Kenton",207061,1234,1978,4024,2802,1619
"Kerns",271104,182,682,2613,3627,1405
"King",271105,1025,2584,5314,8456,4859
"Lake Road",274239,281,760,1400,727,199
"Lents",207108,5809,8028,9175,3049,1220
"Lewelling",274295,293,1316,2115,982,296
"Linnton",207125,15,162,369,394,308
"Linwood",274327,352,1771,2036,733,304
"Lloyd",274337,203,463,1284,1389,980
"Madison South",271108,723,1874,3454,2056,1270
"Maplewood-Ashcreek",274417,857,2767,7362,8738,6667
"McLoughlin Industrial",274478,56,132,386,253,239
"Mill Park",271111,3200,3427,3498,1883,934
"Milwaukie Business-Industry",274545,131,263,482,285,105
"Montavilla",207230,2272,4970,8817,6410,2626
"Mount Scott",274604,1774,2480,3662,2532,1043
"Mount Tabor",274605,501,2063,3554,5176,3377
"Neighbors Southwest",274653,870,1461,3647,4430,2654
"Northwest",274797,759,2533,8064,12954,10630
"Old Town-Chinatown",274898,497,519,1584,1454,958
"Overlook",271119,523,1389,2879,3409,1874
"Parkrose",207340,2700,4428,6300,3218,1061
"Pearl District",271122,309,484,2354,3616,3271
"Pleasant Valley",275055,2218,4772,5978,2672,1507
"Portsmith",275080,2527,3083,4362,1918,749
"Powellhurst",207384,7475,9186,9931,3523,895
"Raleigh West",275125,256,714,1019,1378,435
"Reed",344057,304,1096,2014,1379,936
"Richmond",276532,914,3199,7406,10087,7455
"Roseway",271127,1444,4270,9196,10017,6783
"Ross Island",275256,13,46,23,74,77
"Saintjohns",275553,1278,2652,4050,1763,1076
"Sellwood-Moreland",275327,744,2159,4590,5135,4225
"Sexton Mountain",271131,375,2262,4184,5296,2462
"South Beaverton",275412,834,1828,3154,4391,1762
"South Tabor",344059,1129,2205,2989,2890,1516
"Southwest Hills",271136,293,456,1763,2811,3786
"Sunderland",271139,317,484,439,67,23
"Triple Creek",271142,936,1859,2725,2759,1150
"University Park",207639,204,1116,1543,1377,924
"Vose",275899,1948,2475,2971,1944,1183
"West Beaverton",271146,1024,2684,4214,3356,1574
"West Slope",275992,148,593,1256,1268,701
"Wilkes",271150,2645,4972,6542,2268,973
"Woodlawn",271152,1259,2986,5162,5451,2906
"Woodstock",207740,840,2501,3947,4167,2442
