regionid,year,no_highschool_diploma,highschool_and_ged_diploma,some_college,bachelors_degree,graduate_plus
206428,2000,2.31,8.11,25.16,39.96,24.51
206554,2000,3.45,8.14,23.48,36.39,28.33
206562,2000,13.02,21.05,33.22,23.66,8.89
206780,2000,6.52,15.43,26.49,27.39,25.13
206971,2000,21.80,30.61,31.23,11.78,4.45
206987,2000,4.58,8.89,21.76,37.23,27.32
207031,2000,5.41,13.21,30.32,28.54,23.31
207061,2000,19.54,30.40,33.74,11.10,5.58
207108,2000,24.55,32.88,32.20,7.42,3.21
207125,2000,3.68,15.46,30.53,32.44,17.08
207230,2000,18.42,24.95,35.42,16.25,5.41
207340,2000,17.45,30.58,33.84,13.19,4.69
207384,2000,24.59,34.25,31.05,7.43,2.66
207639,2000,10.02,29.27,30.36,20.53,9.80
207740,2000,12.97,25.31,33.06,20.29,9.21
271060,2000,16.83,27.82,32.44,15.62,6.69
271061,2000,12.94,26.23,38.61,14.82,7.01
271065,2000,23.86,27.05,28.87,16.39,4.54
271067,2000,14.97,32.61,31.68,12.62,6.18
271068,2000,9.74,14.20,33.56,31.41,11.31
271070,2000,25.34,28.07,30.94,11.07,4.39
271071,2000,20.85,32.77,35.58,7.88,2.81
271072,2000,7.12,15.52,29.76,29.52,18.35
271076,2000,11.43,21.46,33.43,22.61,10.22
271079,2000,19.60,25.58,31.93,15.63,6.97
271082,2000,5.71,15.89,31.37,31.17,16.75
271085,2000,7.24,12.87,26.49,38.97,14.36
271087,2000,3.14,10.18,22.83,36.79,26.90
271089,2000,6.04,12.94,29.74,31.60,20.34
271090,2000,1.56,6.23,18.84,40.52,32.94
271098,2000,6.30,15.58,29.16,31.34,17.25
271104,2000,9.10,12.26,30.38,33.71,14.21
271105,2000,18.93,20.55,29.55,22.36,8.24
271108,2000,18.58,29.49,34.26,13.95,4.94
271111,2000,21.07,34.89,30.21,9.22,4.29
271119,2000,17.83,23.12,37.55,16.17,5.05
271122,2000,12.72,19.58,27.68,29.05,10.53
271127,2000,9.63,19.43,32.56,24.41,13.94
271131,2000,8.35,18.69,35.28,28.66,9.52
271136,2000,2.53,5.36,21.09,38.86,32.16
271139,2000,32.09,33.43,27.28,1.34,1.77
271142,2000,7.99,20.32,36.70,24.86,10.97
271146,2000,14.13,20.66,32.66,23.67,9.18
271150,2000,17.91,26.61,35.04,13.77,5.85
271152,2000,20.47,24.63,32.79,15.76,5.98
272783,2000,17.31,27.24,39.54,11.41,4.72
273187,2000,20.36,23.89,32.15,16.30,7.35
273346,2000,3.88,10.73,28.32,34.06,23.50
273402,2000,17.56,25.57,34.37,16.17,6.46
273899,2000,10.26,22.15,35.32,21.73,9.73
273912,2000,16.54,26.80,34.67,15.41,5.62
273955,2000,10.08,34.36,37.57,10.93,6.89
274008,2000,6.92,19.95,33.79,28.58,11.07
274035,2000,12.62,25.89,35.91,17.53,8.28
274053,2000,3.20,7.46,19.37,34.08,35.91
274059,2000,10.25,13.87,30.36,30.58,15.19
274111,2000,15.86,28.52,34.14,14.38,7.52
274239,2000,8.56,25.83,39.68,16.20,10.14
274295,2000,11.68,32.96,40.28,12.10,2.27
274327,2000,14.27,34.55,38.69,9.44,2.53
274337,2000,12.93,18.84,26.98,21.62,17.60
274417,2000,4.99,14.09,28.94,31.99,19.53
274478,2000,11.19,24.91,33.92,16.39,13.09
274545,2000,8.58,24.70,38.09,16.78,11.51
274604,2000,20.68,29.37,35.70,11.46,3.39
274605,2000,9.70,18.46,26.02,29.00,17.19
274653,2000,4.05,15.55,35.76,28.84,15.80
274797,2000,6.70,13.20,25.64,34.56,20.51
274898,2000,21.35,34.70,28.29,7.47,6.99
275055,2000,15.25,28.26,36.77,12.77,6.97
275080,2000,30.34,28.08,28.60,10.42,2.50
275125,2000,5.17,15.17,32.14,29.96,18.50
275256,2000,8.10,25.00,13.89,40.51,14.58
275327,2000,10.85,17.18,29.77,28.04,13.87
275412,2000,4.32,15.56,34.76,30.94,14.45
275553,2000,21.14,35.08,31.64,8.87,3.70
275899,2000,18.46,23.26,30.91,19.30,7.57
275992,2000,2.43,10.35,29.40,35.06,22.55
276222,2000,23.98,37.00,30.88,7.17,1.41
276294,2000,5.32,32.54,30.92,25.16,7.53
276532,2000,9.71,13.85,29.61,31.34,15.37
344054,2000,19.88,30.71,34.14,10.86,5.08
344057,2000,11.39,18.23,32.09,25.64,12.65
344059,2000,21.12,22.92,33.44,17.17,4.63

